rowNo,templateRow,key,category,guideline,assessmentForm,assessmentStage,assessmentSection
54,60,contact_info.social_networks,Contact Information,Social Networking Sites Link is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
55,61,contact_info.feedback_form,Contact Information,Feedback Form is provided,Web Accessibility Assessment Form - Web Usability,Usability - Content,Clear path to contact information - Contact Us Link
56,62,presence.home,Presence & Identity,Home link is present,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,A Basic Web Feature
57,63,presence.pst,Presence & Identity,Philippine Standard Time is present,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,A Basic Web Feature
58,64,presence.govph_footer_link,Presence & Identity,Links to other agencies (GOV.PH and Standard Footer),Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,A Basic Web Feature
59,65,presence.sitemap,Presence & Identity,Site Map is present,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,A Basic Web Feature
60,66,presence.logo_masthead,Presence & Identity,Agency Name and Logos (Masthead),Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,B Info About the Agencies
61,67,presence.about_us,Presence & Identity,About Us section is present,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,B Info About the Agencies
62,68,presence.organization_structure,Presence & Identity,Organization Structure is documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,B Info About the Agencies
63,69,presence.key_officials,Presence & Identity,Key Officials information is provided,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,B Info About the Agencies
64,70,presence.contact_details,Presence & Identity,Contact Details (Phone/Fax/Email/Address) are provided,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,B Info About the Agencies
65,71,presence.citizens_charter,Presence & Identity,Citizens' Charter is documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
66,72,presence.transparency_seal,Presence & Identity,Transparency Seal is present,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
67,73,presence.mission_vision,Presence & Identity,Mission and Vision statements are documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
68,74,presence.org_objectives,Presence & Identity,Organization Aims and Objectives are documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
69,75,presence.mandate_functions,Presence & Identity,Mandate and Functions are documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
70,76,presence.products_services,Presence & Identity,Products or Services are documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
71,77,presence.plans_programs,Presence & Identity,Plans Programs and Projects are documented,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
72,78,presence.policy_releases,Presence & Identity,Policy/Regulation Releases are published,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
73,79,presence.major_outputs,Presence & Identity,Major Final Outputs / PREAC (Budget Circulars etc) are published,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,C Strategic Information of the Agency
74,80,resources.downloads,Resources,Downloads section is available,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,D Resources
75,81,resources.archives,Resources,Archives section is available,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,D Resources
76,82,resources.faqs,Resources,FAQs section is available,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,D Resources
77,83,resources.opportunities,Resources,Opportunities section is available,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,D Resources
78,84,resources.announcements,Resources,Announcements/Latest News/Events section is available,Web Accessibility Assessment Form - Web Presence,Stage 1 - Emerging Web Presence,D Resources
79,85,content.information_uptodate,Content,Information/data is up to date,Web Accessibility Assessment Form - Web Presence,Stage 2 - Enhanced Web Presence,A Accessible information at the website which will be regularly updated at least 5 times
80,86,content.news_releases,Content,News/press releases/announcements are present,Web Accessibility Assessment Form - Web Presence,Stage 2 - Enhanced Web Presence,A Accessible information at the website which will be regularly updated at least 5 times
81,87,features.search_sitemap,Features,Search function and sitemap,Web Accessibility Assessment Form - Web Presence,Stage 2 - Enhanced Web Presence,B Search function and sitemap
82,88,services.eservices,eServices,e-Services are available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,A e-Services Available
83,89,security.ssl,Security,SSL certificate is implemented,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,B Security
84,90,security.privacy_policy,Security,Privacy Policy is documented,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,B Security
85,91,security.captcha,Security,CAPTCHA is implemented for form protection,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,B Security
86,92,participation.rss,eParticipation,RSS feed is available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,C Simple e-Participation
87,93,participation.other_forms,eParticipation,Other Forms of e-Participation are available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,C Simple e-Participation
88,94,features.email_alerts,Other Features,e-Mail alerts for participation are available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
89,95,features.downloadable_docs,Other Features,Downloadable Documents/Reports are available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
90,96,features.esignature,Other Features,e-Signature capability is available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
91,97,features.user_login,Other Features,Public User login and password functionality is available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
92,98,features.confirmation_request,Other Features,Confirmation of request functionality is available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
93,99,features.online_forms,Other Features,Online Forms are available,Web Accessibility Assessment Form - Web Presence,Stage 3 - Transactional Online Services,D Other Features
94,100,policy.mission_statement,Policy & Participation,e-participation policy and mission statement is documented,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,A e-participation policy and mission statement
95,101,policy.upcoming_participation,Policy & Participation,Expanding coverage of upcoming e-participation activities is documented,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,B Expanding coverage of upcoming e-participation activities
96,102,policy.archived_participation,Policy & Participation,Archived information about e-participation activities is documented,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,C Archived information about e-participation activities
97,103,tools.discussion_forums,Participation Tools,Discussion Forums are available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
98,104,tools.satisfaction_surveys,Participation Tools,Customer Satisfaction Surveys are available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
99,105,tools.opinion_polls,Participation Tools,Opinion Polls are available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
100,106,tools.blogs,Participation Tools,Blogs are available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
101,107,tools.social_networks,Participation Tools,Social Networking Sites integration is available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
102,108,tools.bulletin_boards,Participation Tools,Bulletin Boards/short page links are available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
103,109,tools.chat_room,Participation Tools,Chat Room is available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
104,110,tools.webcasting,Participation Tools,Web Casting is available,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,D e-participation tools to obtain public opinion
105,111,feedback.strategy_feedback,Citizen Feedback,Citizen feedback on national strategy policies and e-services is collected,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,E Citizen feedback on the national strategy policies and e-services
106,112,feedback.publication_results,Citizen Feedback,Results of citizen feedback are published,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,F Provision for publishing the results of citizen feedback
107,113,feedback.archive_responses,Citizen Feedback,Archive of government responses to citizen questions is maintained,Web Accessibility Assessment Form - Web Presence,Stage 4 - Connected,G Archive on responses by government to citizen's questions
